Thématiques 2628,Numéro de dépôt,Public concerné,Contexte,Format (ANDPC),Typologie de formation,Type d'EPP,Durée totale,Prise en charge,Indemnités PS,Formateur(s),ODPC,Commercialisation,U1 - Typologie,U1 - Format,U1 - Nb d'heure(s) total,U2 - Typologie,U2 - Format,U2 - Nb d'heure(s) total,U3 - Typologie,U3 - Format,U3 - Nb d'heure(s) total,Fiche mémo pdf
Troubles bipolaires résistants : stratégies diagnostiques et thérapeutiques (https://www.notion.so/Troubles-bipolaires-r-sistants-strat-gies-diagnostiques-et-th-rapeutiques-2011e0168e7080ebb504c5f7ff5b38d8?pvs=21),94632425164,Psychiatrie (https://www.notion.so/Psychiatrie-19915b92c8284772b8b98afd02623b65?pvs=21),"Ces dernières décennies le champ de la psychiatrie à connu une explosion phénoménale des connaissances sur la physiopathologie des différents troubles. Les connaissances nouvelles apportées par les neurosciences ont apporté des hypothèses concernant l’épigénétique, la chronobiologie, la modification des circuits cérébraux nous éclairant sur la génération des symptômes. De nombreuses sociétés savantes ont élaboré des recommandations à l’aune de ces avancées pour permettre aux cliniciens d’apporter à leurs patients une réponse de plus en plus personnalisée. Cette inflation des connaissances peut-être difficile à appréhender par le clinicien afin qu’il puisse proposer à ces patients les traitements les plus adaptés. Cette formation vise à répondre à ce défi. En particulier, la prise en charge des situations résistances ou complexes sera détaillé dans chaque module de formation. ",E-learning,FC,NA (FC),11,"522,50 €","0,00 €",Pierre-François ROUSSEAU (https://www.notion.so/Pierre-Fran-ois-ROUSSEAU-47c41598e0094b4bbe12391aa722a153?pvs=21),GRAAD,Commercialisée,Formation Continue,Non présentiel,11,,,0,,,0,
"Addictions avec substances licites : alcool, tabac et médicaments (https://www.notion.so/Addictions-avec-substances-licites-alcool-tabac-et-m-dicaments-2061e0168e708065b181e0c710cf14b5?pvs=21)",94632425269,Psychiatrie (https://www.notion.so/Psychiatrie-19915b92c8284772b8b98afd02623b65?pvs=21),"Selon Santé publique France, en mai dernier 15 millions de Français fument dont 12 millions quotidiennement (27,4% parmi les hommes et 21,7% parmi les femmes) et 1 adulte français sur 5 déclare consommer de l’alcool au-dessus des repères de consommation à moindre risque.
Les addictions licites sont un problème majeur de santé publique. La consommation de substances légales telles que le tabac, l'alcool et d'autres produits représente un défi pour la société.
Les facteurs de risque associés à ces addictions sont nombreux et les conséquences sur la santé peuvent être graves. C'est pourquoi il est essentiel de comprendre les mécanismes de ces addictions et d'adopter des stratégies de prévention et d'intervention appropriées. 
La formation en ligne sur les addictions licites en France vise à fournir des connaissances approfondies sur ces sujets, afin d'identifier les signes précurseurs, d'offrir un soutien adéquat et de promouvoir des approches de prévention efficaces. 
Grâce à cette formation interactive, les participants auront l'opportunité d'acquérir des compétences précieuses pour accompagner les personnes confrontées à ces addictions et contribuer à la lutte contre ce problème de santé publique.",E-learning,PI,AC,11,"589,00 €","157,50 €",Florence THIBAUT (https://www.notion.so/Florence-THIBAUT-9f61a21be87343a39da9cb7615222987?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Surpoids chez l’enfant et l’adolescent  (https://www.notion.so/Surpoids-chez-l-enfant-et-l-adolescent-2181e0168e70801ab514f2edcfe6d05c?pvs=21),94632425243,"Pédiatrie (https://www.notion.so/P-diatrie-63878eb075064206871eaa41b3f97bea?pvs=21), Médecine générale (https://www.notion.so/M-decine-g-n-rale-d1270dd07cd24aceb997ee8db67ab179?pvs=21)","Le surpoids est défini par un excès de masse grasse et résulte d’un déséquilibre prolongé de la balance énergétique. Chez l’enfant et l’adolescent, les mécanismes physiopathologiques sont multiples et complexes et incluent toujours des facteurs génétiques de prédisposition en interaction avec un environnement obésogène. Il concerne environ 15 % des enfants et adolescents et peut être associé à certaines complications comme le syndrome d’apnées du sommeil ou une altération de la qualité de vie et une stigmatisation. L’augmentation récente de sa prévalence en particulier chez les jeunes adultes depuis l’épidémie de la COVID-19 justifie de dépister le surpoids chez l’enfant et l’adolescent et de proposer une prise en charge adaptée et bienveillante aux enfants et adolescents concernés afin de stabiliser leur corpulence voire l’améliorer
Du fait de leur  proximité avec leurs patients et de leur positionnement en première ligne, le médecin généraliste et le pédiatre sont des maillons essentiels du parcours de soins pour prévenir, diagnostiquer et apporter les soins adaptés à cette pathologie fréquente. Ils doivent pouvoir éclairer le patient et ses parents par une information complète et circonstanciée sur les actions de prévention et accompagner les patients touchés par cette maladie (prise en charge pluridisciplinaire de proximité voire adressage selon les situations (Mission Retrouve ton Cap, REPOP ou dans les centres spécialisés d’obésité en cas de situation complexe).",E-learning,PI,AC,11,"589,00 €","157,50 €",Béatrice DUBERN (https://www.notion.so/B-atrice-DUBERN-c85f7f01b01f475dbcb1ac000645761e?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Prise en charge de l’obésité chez l’enfant et l’adolescent  (https://www.notion.so/Prise-en-charge-de-l-ob-sit-chez-l-enfant-et-l-adolescent-2141e0168e708051b5f3d147b0d09232?pvs=21),94632425174,"Médecine générale (https://www.notion.so/M-decine-g-n-rale-d1270dd07cd24aceb997ee8db67ab179?pvs=21), Pédiatrie (https://www.notion.so/P-diatrie-63878eb075064206871eaa41b3f97bea?pvs=21)","L’obésité est considérée comme une épidémie dans les pays développés incitant l’organisation mondiale de la santé (OMS) à désigner cette situation comme une importante menace de santé. En France, la corpulence des femmes et hommes a nettement augmenté depuis 1981 avec une accélération depuis les années 1990 L’obésité touchant de plus en plus de femmes jeunes, la période de grossesse n’est pas épargnée. La prévalence croissante de l’obésité amène les gynécologues-obstétriciens et les sages-femmes à faire face de plus en plus fréquemment à des parturientes qui présentent une obésité. Ce problème est préoccupant car il est clairement démontré que l’obésité est un facteur indépendant de complications fœtales et maternelles au cours de cette période. Pendre en charge la patiente obèse dès avant et en cours de grossesse est capital pour améliorer la santé des mères et des nouveaux-nés. Il est, par ailleurs, reconnu aujourd’hui que cette période dite des 1000 premiers jours est une fenêtre d’opportunité pour agir.",E-learning,FC,NA (FC),11,"522,50 €","0,00 €",Béatrice DUBERN (https://www.notion.so/B-atrice-DUBERN-c85f7f01b01f475dbcb1ac000645761e?pvs=21),GRAAD,Commercialisée,Formation Continue,Non présentiel,11,,,0,,,0,
Prise en charge de l’obésité chez l’enfant et l’adolescent  (https://www.notion.so/Prise-en-charge-de-l-ob-sit-chez-l-enfant-et-l-adolescent-2141e0168e708051b5f3d147b0d09232?pvs=21),94632425246,"Médecine générale (https://www.notion.so/M-decine-g-n-rale-d1270dd07cd24aceb997ee8db67ab179?pvs=21), Pédiatrie (https://www.notion.so/P-diatrie-63878eb075064206871eaa41b3f97bea?pvs=21)","L’obésité est définie par un excès de masse grasse et résulte d’un déséquilibre prolongé de la balance énergétique. Chez l’enfant et l’adolescent, les mécanismes physiopathologiques sont multiples et complexes et incluent toujours des facteurs génétiques de prédisposition en interaction avec un environnement obésogène. Elle concerne 5% des enfants et adolescents et est associée à de nombreuses complications comme le syndrome d’apnées du sommeil ou une altération profonde de la qualité de vie et une stigmatisation majeure. L’augmentation récente de sa prévalence en particulier chez les jeunes adultes depuis l’épidémie de la COVID-19 justifie de dépister l’obésité de l’enfant et l’adolescent et de proposer une prise en charge adaptée avec bienveillance aux enfants et adolescents concernés afin de stabiliser la corpulence voire l’améliorer.
Du fait de sa proximité avec ses patients et de son positionnement en première ligne, le médecin généraliste et pédiatre sont des maillons essentiels du parcours de soins pour prévenir, diagnostiquer et apporter les soins adaptés à cette pathologie fréquente. Ils doivent pouvoir éclairer le patient et ses parents par une information complète et circonstanciée sur les actions de prévention et accompagner les patients touchés par cette maladie (prise en charge pluridisciplinaire de proximité voire adressage dans les REPOP ou dans les centres spécialisés d’obésité en cas de situation complexe).",E-learning,PI,AC,11,"418,00 €","225,00 €",Béatrice DUBERN (https://www.notion.so/B-atrice-DUBERN-c85f7f01b01f475dbcb1ac000645761e?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,,3,
[Location] Angine sans TROD et délivrance des antibiotiques (https://www.notion.so/Location-Angine-sans-TROD-et-d-livrance-des-antibiotiques-2181e0168e70807682d1e0a1e9a5212e?pvs=21),94632425366,"Pharmacien titulaire d'officine (https://www.notion.so/Pharmacien-titulaire-d-officine-7825d243cf85470f82d495c23d384750?pvs=21), Pharmacien adjoint d'officine (https://www.notion.so/Pharmacien-adjoint-d-officine-f99ac124a44d417fb21cadea3f5c7b7d?pvs=21)",,E-learning,FC,NA (FC),4,"110,00 €","0,00 €","Philippe MINIGHETTI (https://www.notion.so/Philippe-MINIGHETTI-1441e0168e70806d848ac2db47331b3d?pvs=21), Agnès FERRAUD (https://www.notion.so/Agn-s-FERRAUD-1441e0168e708009af77d2aba623b484?pvs=21)",GRAAD,"Non commercialisée,Commercialisée",Formation Continue,Non présentiel,4,,,0,,,0,
[Location] Cystite complète et délivrance des antibiotiques (https://www.notion.so/Location-Cystite-compl-te-et-d-livrance-des-antibiotiques-2071e0168e708084bc3dc0edd54935ca?pvs=21),94632425365,"Pharmacien titulaire d'officine (https://www.notion.so/Pharmacien-titulaire-d-officine-7825d243cf85470f82d495c23d384750?pvs=21), Pharmacien adjoint d'officine (https://www.notion.so/Pharmacien-adjoint-d-officine-f99ac124a44d417fb21cadea3f5c7b7d?pvs=21)","Cette formation s’inscrit dans le cadre de la stratégie 2022-2025 de prévention des
infections et de l’antibiorésistance, avec l’implication du pharmacien d’officine dans la
réalisation du test urinaire d’orientation diagnostique de la cystite, suivie de la dispensation
d’un antibiotique sans ordonnance le cas échéant.",E-learning,FC,NA (FC),4,"110,00 €","0,00 €",Serge GUILBERT (https://www.notion.so/Serge-GUILBERT-1441e0168e70804c9d06ecc4ef4efe2d?pvs=21),GRAAD,Commercialisée,Formation Continue,Non présentiel,4,,,0,,,0,
"[Location] Cystite complète, angine sans TROD et délivrance des antibiotiques (https://www.notion.so/Location-Cystite-compl-te-angine-sans-TROD-et-d-livrance-des-antibiotiques-2071e0168e708061aca0cf691efed478?pvs=21)",94632425364,"Pharmacien titulaire d'officine (https://www.notion.so/Pharmacien-titulaire-d-officine-7825d243cf85470f82d495c23d384750?pvs=21), Pharmacien adjoint d'officine (https://www.notion.so/Pharmacien-adjoint-d-officine-f99ac124a44d417fb21cadea3f5c7b7d?pvs=21)","Dans un contexte de préoccupations croissantes autour de l’antibiorésistance, il devient impératif de renforcer les stratégies de prévention des infections, tout en optimisant l’usage des antibiotiques. Cette formation s’inscrit dans la stratégie nationale 2022-2025 de lutte contre l’antibiorésistance, en mettant l’accent sur l’implication du pharmacien d’officine dans le diagnostic rapide des angines grâce au Test de Recherche d’Origine Bactérienne (TROD).
Cette approche permet non seulement de cibler les prescriptions antibiotiques uniquement lorsque cela est nécessaire, mais aussi de jouer un rôle clé dans la réduction des risques liés à une surconsommation d’antibiotiques, en améliorant ainsi la prise en charge des patients.",E-learning,FC,NA (FC),8,"220,00 €","0,00 €","Philippe MINIGHETTI (https://www.notion.so/Philippe-MINIGHETTI-1441e0168e70806d848ac2db47331b3d?pvs=21), Agnès FERRAUD (https://www.notion.so/Agn-s-FERRAUD-1441e0168e708009af77d2aba623b484?pvs=21)",GRAAD,Commercialisée,Formation Continue,Non présentiel,8,,,0,,,0,
Dépistage et diagnostic des amblyopies chez les jeunes enfants (https://www.notion.so/D-pistage-et-diagnostic-des-amblyopies-chez-les-jeunes-enfants-2071e0168e70806f8549d25dbf13eef7?pvs=21),94632425370,Ophtalmologie (https://www.notion.so/Ophtalmologie-9c7c61a4ec3048f39667de6a90abd6ae?pvs=21),"L’amblyopie, souvent qualifiée de « maladie silencieuse », constitue la principale cause de déficience visuelle unilatérale chez l’enfant. On estime la prévalence à environ 3 à 5 % chez les enfants en âge préscolaire, avec un risque de conséquences visuelles irréversibles si elle n’est pas diagnostiquée et traitée à temps. Cette pathologie résulte d’une perturbation de la maturation du cortex visuel due à une privation sensorielle ou à un déséquilibre binoculaire pendant la période critique de développement, qui s’étend généralement jusqu’à l’âge de 6 ans.
Les origines de l’amblyopie sont variées. Les troubles de la réfraction (myopie, hypermétropie, astigmatisme), souvent asymétriques, sont les causes les plus fréquentes, suivis du strabisme, qui perturbe l’alignement des axes visuels, et des anomalies organiques telles que la cataracte congénitale ou les opacités cornéennes. Ces situations nécessitent une vigilance accrue des professionnels pour éviter une perte de vision fonctionnelle, souvent irréversible après la période de plasticité cérébrale. Malgré les avancées technologiques et les recommandations en matière de dépistage, des disparités persistent dans la prise en charge des jeunes enfants. De nombreux ophtalmologistes expriment des réticences liées à la complexité des examens chez cette population, qu’il s’agisse de maintenir la coopération des enfants ou d’interpréter les résultats spécifiques à chaque âge. La collaboration avec les orthoptistes est essentielle, mais encore sous-utilisée dans certaines pratiques.
La prévention de l’amblyopie repose sur deux piliers : un dépistage systématique et un diagnostic précis, idéalement avant l’âge de 3 ans, suivi d’une prise en charge thérapeutique adaptée. Celle-ci inclut des interventions non invasives telles que la correction optique, le port de lunettes spécifiques, ou l’occlusion de l’œil sain. Dans certains cas, des approches chirurgicales peuvent être nécessaires pour corriger des facteurs organiques ou strabiques sévères.
Cette formation répond au besoin pressant de consolider les compétences des médecins ophtalmologistes face à ces défis. Elle s’appuie sur les recommandations validées par l’Association Française des Spécialistes en Ophtalmologie Pédiatrique (AFSOP) et les standards définis par la Haute Autorité de Santé (HAS). En outre, elle mettra l’accent sur les outils modernes de dépistage, les protocoles de prise en charge collaborative avec les orthoptistes et les stratégies de sensibilisation des familles. Renforcer ces axes doit permettre de réduire significativement la prévalence de l’amblyopie et d’assurer une prise en charge équitable et efficace pour tous les enfants, dès la petite enfance.",E-learning,PI,AC,11,"589,00 €","157,50 €",Ludovic N’KOSI  (https://www.notion.so/Ludovic-N-KOSI-1051e0168e7080d68221c82828b71884?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Dépression résistante : quelles stratégies adopter ? (https://www.notion.so/D-pression-r-sistante-quelles-strat-gies-adopter-2071e0168e7080ada4fde07a90721e7a?pvs=21),94632425356,Psychiatrie (https://www.notion.so/Psychiatrie-19915b92c8284772b8b98afd02623b65?pvs=21),"La dépression résistante se caractérise par un échec thérapeutique malgré au moins deux essais adéquats d'antidépresseurs de classes différentes à des doses et durées optimales. Il est crucial de souligner que la définition de la ""résistance"" peut varier selon les sources et qu'il est important de se référer aux recommandations internationales pour une définition précise.
Bien que l’épidémiologie précise de la dépression résistante soit difficile à établir, il est reconnu qu'elle touche une forte proportion de patients souffrant de dépression majeure : on estime entre 17 à 30 % la prévalence de ce type de tableaux . Ceci entraîne des coûts importants pour le système de santé, liés à la prolongation des épisodes dépressifs, à la multiplication des consultations médicales, à la prescription de traitements plus coûteux et surtout sur l’altération de la qualité de vie des patients.
Or la prise en charge de la dépression résistante est complexe et nécessite une expertise particulière : l'identification des causes de la résistance, la distinction entre résistance vraie et ""pseudo-résistance"" (liée à une mauvaise observance ou à un diagnostic initial erroné), et le choix des stratégies thérapeutiques adaptées (optimisation des traitements antidépresseurs, association d'antidépresseurs, potentialisation, le choix de la psychothérapie et surtout la nécessité de mettre en place des traitements hors AMM constituent autant de défis pour la pratique représentent autant de défis pour la pratique quotidienne. 
Une formation spécifique sur la dépression résistante est indispensable pour permettre aux professionnels de santé d'acquérir les connaissances et les compétences nécessaires à une prise en charge optimale de ces tableaux cliniques. ",E-learning,PI,AC,11,"589,00 €","157,50 €",Stéphane MOUCHABAC (https://www.notion.so/St-phane-MOUCHABAC-021740441b8b476eb28bbacb95a7bcbd?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
Prise en charge et suivi de la dépression du post-partum (https://www.notion.so/Prise-en-charge-et-suivi-de-la-d-pression-du-post-partum-2081e0168e7080f3919bcb573a442900?pvs=21),94632425360,Psychiatrie (https://www.notion.so/Psychiatrie-19915b92c8284772b8b98afd02623b65?pvs=21),"La période du post-partum constitue une phase de vulnérabilité accrue pour les femmes, durant laquelle le risque de survenue de dépression est particulièrement élevé. Il s’agit d’une des complications les plus fréquentes de la grossesse, 7 à 20 % des mères développant une dépression du post-partum, qui peut survenir jusqu'à un an après l'accouchement. La dépression du post-partum et l’épisode dépressif caractérisé non péri-natal partagent les mêmes critères diagnostics, à savoir une humeur dépressive, perte d’intérêt, anhédonie, de perturbations du sommeil et de l’appétit, de troubles de la concentration, de perturbations psychomotrices, de fatigue, de sentiments de culpabilité ou de dévalorisation, et de pensées suicidaires (concernant 20% des femmes souffrant d’une dépression du post-partum), sur une période de deux semaines consécutives. Elle peut avoir des conséquences directes sur la relation mère-enfant et le développement psychique du nourrisson. Il est donc important de savoir diagnostiquer une dépression du post-partum, d'organiser la prise en charge multidisciplinaire adéquate, et le traitement médicamenteux indiqué si nécessaire.",E-learning,PI,AC,11,"589,00 €","157,50 €",Jacques DAABOUL  (https://www.notion.so/Jacques-DAABOUL-0451574f3d294d5d9469e82ae6464516?pvs=21),GRAAD,Commercialisée,Evaluation des pratiques professionnelles,Non présentiel,4,Formation Continue,Non présentiel,4,Evaluation des pratiques professionnelles,Non présentiel,3,
